Name,Time
Bronson Cole,25.844
Damien West,1.164
Hassan Vo,34.192
Hassan Vo,83.456
Bronson Cole,87.270
Bronson Cole,56.683
Bronson Cole,74.829
Robin Hardin,93.703
Roy Benitez,48.837
Roy Benitez,99.612
Robin Hardin,67.889
Hassan Vo,44.413
Damien West,66.718
Roy Benitez,65.359
Hassan Vo,11.547
Damien West,9.437
Hassan Vo,63.172
Damien West,87.538
Bronson Cole,64.704
Bronson Cole,56.264
Hassan Vo,42.958
Hassan Vo,44.253
Robin Hardin,97.111
Hassan Vo,8.847
Roy Benitez,92.508
Damien West,24.480
Robin Hardin,63.229
Bronson Cole,95.880
Hassan Vo,12.853
Bronson Cole,73.467
Bronson Cole,22.576
Roy Benitez,97.112
Robin Hardin,40.255
Hassan Vo,78.194
Damien West,94.371
Damien West,63.226
Hassan Vo,64.588
Bronson Cole,20.490
Hassan Vo,65.643
Damien West,67.288
Robin Hardin,6.150
Bronson Cole,57.334
Bronson Cole,94.349
Bronson Cole,56.720
Bronson Cole,2.189
Hassan Vo,19.595
Roy Benitez,41.559
Robin Hardin,85.550
Bronson Cole,1.595
Robin Hardin,17.397
